Agent trajectory file
X [nm]      Y[nm]       Z[nm]
-0.436818  1.37534  2.92615  
-0.412559  1.3611  2.85516  
-0.388299  1.34686  2.78417  
-0.364039  1.33262  2.71318  
-0.33978  1.31838  2.64219  
-0.31552  1.30414  2.57119  
-0.291261  1.2899  2.50688  
-0.267001  1.27566  2.57573  
-0.242742  1.26142  2.59765  
-0.218482  1.24718  2.53005  
-0.194223  1.23294  2.45025  
-0.169963  1.2187  2.39688  
-0.145703  1.20446  2.36902  
-0.121444  1.19022  2.35598  
-0.0971843  1.17598  2.34668  
-0.0729248  1.16174  2.33214  
-0.0486652  1.1475  2.30642  
-0.0244057  1.13326  2.26697  
-0.0001461  1.11902  2.21442  
0.0241135  1.10478  2.15248  
0.0125387  1.09054  2.08766  
0.000963947  1.0763  2.03222  
-0.0106108  1.06206  1.99626  
-0.0221856  1.04782  1.92504  
-0.0337603  1.03358  1.85382  
-0.0453351  1.01934  1.76614  
-0.0569098  1.0051  1.67847  
-0.0684846  0.990857  1.59088  
-0.0800593  1.01564  1.50754  
-0.0916341  1.04042  1.43205  
-0.103209  1.06521  1.36551  
-0.114784  1.08999  1.30725  
-0.126358  1.11477  1.25551  
-0.154563  1.13956  1.2079  
-0.182767  1.16434  1.1621  
-0.210972  1.18913  1.11511  
-0.239177  1.21391  1.06284  
-0.267381  1.23869  0.999323  
-0.295586  1.26348  0.915272  
-0.32379  1.28826  0.831221  
-0.351995  1.31304  0.747169  
-0.380199  1.33783  0.663118  
-0.408404  1.36261  0.579067  
-0.436609  1.38739  0.495015  
-0.464813  1.41218  0.410964  
-0.493018  1.43973  0.326913  
-0.521222  1.46728  0.242861  
-0.549427  1.49469  0.15881  
-0.577631  1.52031  0.0747586  
-0.605836  1.54214  -0.0092927  
