Agent energy file
Z [A]       Energy [kcal/mol]
29.2567  17.2411  
28.3752  19.9314  
27.4938  23.4239  
26.6123  27.9084  
25.7308  33.3772  
24.8494  39.2623  
23.9679  44.1193  
23.0864  46.1175  
22.205  44.54  
21.3235  40.4979  
20.442  35.7475  
19.5605  32.0128  
18.6791  29.3309  
19.4307  31.0277  
20.1823  33.0232  
20.9339  35.6477  
21.6855  37.6392  
22.4372  38.4106  
23.1888  37.2074  
23.0105  37.2127  
22.2461  36.1344  
22.1953  35.9029  
22.8754  35.3079  
23.1846  34.6732  
22.6349  34.5733  
22.0457  33.5884  
22.1546  33.5476  
22.7822  33.0211  
23.1072  32.3991  
22.7101  32.4616  
22.0672  31.7264  
21.8559  31.3067  
22.229  31.3287  
22.7976  30.6978  
22.9654  30.3516  
22.5559  30.4129  
21.9488  29.8768  
21.6416  29.4036  
21.8227  29.4329  
22.3266  29.2158  
22.7411  28.6831  
22.7201  28.6006  
22.2673  28.6347  
21.7  28.2241  
21.3693  27.8214  
21.4348  27.8053  
21.8279  27.8028  
22.293  27.4583  
22.5218  27.1629  
22.3556  27.228  
21.8782  27.2468  
21.3443  26.9383  
21.0108  26.6265  
21.0104  26.6055  
21.3168  26.6907  
21.7607  26.5457  
22.0989  26.2633  
22.1401  26.2055  
21.8457  26.352  
21.342  26.342  
20.8498  26.1391  
20.5718  26.1064  
20.7052  26.6218  
21.277  27.5114  
22.1131  27.9513  
22.8271  27.8796  
22.9966  28.5726  
22.5171  29.8338  
21.7944  30.1687  
21.4786  30.6497  
21.8995  31.7338  
22.3203  32.7885  
22.8894  33.1788  
22.9645  34.0231  
22.4504  34.7764  
22.0468  35.0331  
22.2953  35.8956  
22.8906  35.9446  
22.9579  36.3979  
22.368  36.6627  
21.9412  36.4568  
22.1578  36.8576  
22.6489  36.6464  
22.6621  36.8864  
22.0584  37.3309  
21.3774  37.2307  
21.1002  37.6964  
21.2491  38.6442  
21.3706  39.8104  
20.9671  41.9339  
20.1695  43.5675  
20.1506  46.7911  
20.7893  49.8519  
21.4279  50.771  
22.0665  49.3192  
22.7051  46.0761  
23.3437  42.0279  
23.9823  38.0279  
24.621  34.5571  
25.2596  31.7668  
25.8982  29.6113  
26.5368  27.9524  
27.1754  26.6112  
27.814  25.4185  
28.4527  24.2478  
29.0913  23.0151  
29.7299  21.6856  
30.3685  20.2684  
31.0071  18.8021  
31.6457  17.3363  
32.2844  15.9178  
32.923  14.8437  
32.0462  17.203  
31.1693  20.4475  
30.2925  25.2244  
29.4157  32.7935  
28.5389  45.5806  
27.6621  67.7432  
26.7853  28.3278  
25.9084  29.5126  
25.0316  30.6558  
24.1548  32.0162  
23.278  33.7062  
22.4012  35.6358  
21.5244  37.5524  
20.6476  39.0889  
19.7707  40.1445  
18.8939  40.4759  
19.2664  42.9043  
19.6389  45.8656  
20.1846  49.0583  
20.7024  52.2124  
21.2201  53.9314  
21.7378  53.834  
22.2556  52.1685  
22.7733  49.7281  
23.291  47.4938  
23.8088  46.3511  
